ID,Region,Subregion
1,North America,USA/Canada
2,Western Europe,Western Europe
2,Western Europe,Southern Europe
2,Western Europe,Northern Europe
3,Eastern Europe,Eastern Europe
3,Eastern Europe,Balkans
3,Eastern Europe,Transcaucasia
4,Middle East and Africa,North Africa
4,Middle East and Africa,Central Africa
4,Middle East and Africa,West Africa
4,Middle East and Africa,Southern Africa
4,Middle East and Africa,East Africa
4,Middle East and Africa,Middle East
5,Asia Pacific,Central Asia
5,Asia Pacific,South Asia
5,Asia Pacific,SouthEast Asia
5,Asia Pacific,Far East
5,Asia Pacific,Australasia
5,Asia Pacific,Melanesia
5,Asia Pacific,Micronesia
5,Asia Pacific,Polynesia
6,Latin America,Latin America
6,Latin America,Caribbean
7,World,USA/Canada
7,World,Western Europe
7,World,Southern Europe
7,World,Northern Europe
7,World,Eastern Europe
7,World,Balkans
7,World,Transcaucasia
7,World,North Africa
7,World,Central Africa
7,World,West Africa
7,World,Southern Africa
7,World,East Africa
7,World,Middle East
7,World,Central Asia
7,World,South Asia
7,World,SouthEast Asia
7,World,Far East
7,World,Australasia
7,World,Latin America
7,World,Caribbean
7,World,Melanesia
7,World,Micronesia
7,World,Polynesia
